FID,ROADWAY,ROAD_SIDE,OFFSET_DIR,BEGIN_POST,END_POST,SPEED,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
492,76530000,C, ,14.09,17.244,55,5075.9837,2,76,Putnam,2,5075.98373136682
493,26507001,C, ,0,1,45,1597.9284,2,26,Alachua,2,1597.92838190557
494,93670000,C, ,0,3.64,55,5867.2229,4,93,Palm Beach,4,5867.22294088087
495,58640000,C, ,0.049,3.984,35,6366.9366,3,58,Santa Rosa,3,6366.93657871488
496,34550000,C, ,29.75,33.53,35,6083.4868,2,34,Levy,2,6083.48682078379
497,87250000,C, ,2.566,2.617,40,82.0337,6,87,Miami-Dade,6,82.033736920641
498,75040000,C, ,17.387,18.125,30,1187.7532,5,75,Orange,5,1187.75323746542
499,30540000,C, ,2.762,3.019,35,413.6793,2,30,Dixie,2,413.679339226421
500,11140000,C, ,6.708,7.451,45,1198.9552,5,11,Lake,5,1198.95524840066
501,76070000,C, ,6.93,7.181,35,409.016,2,76,Putnam,2,409.016049371228
502,36010000,C, ,15.226,16.277,45,1688.8534,5,36,Marion,5,1688.85341376232
503,28000009,C, ,0,0.377,25,607.9128,2,28,Bradford,2,607.912818441494
504,76030000,C, ,0,0.288,40,462.2297,2,76,Putnam,2,462.229682529768
505,75008000,C, ,11.813,12.998,55,1904.6124,5,75,Orange,5,1904.61244286181
506,11511500,C, ,0.779,1.378,30,961.8388,5,11,Lake,5,961.838800205176
507,29000002,C, ,0,1.4,45,2245.7559,2,29,Columbia,2,2245.75588870061
508,29540000,C, ,5.555,10.246,35,7551.4313,2,29,Columbia,2,7551.43126244167
509,36110000,C, ,26.25,26.481,40,372.056,5,36,Marion,5,372.056034525193
510,55570000,C, ,5.657,7.105,35,2329.2385,3,55,Leon,3,2329.23850043498
511,94631003,C, ,4.299,5.292,45,1604.7768,4,94,St. Lucie,4,1604.77683738799
512,26610000,C, ,2.515,8.064,55,8926.1242,2,26,Alachua,2,8926.12421276617
513,75020000,C, ,5.988,6.61,55,1001.0647,5,75,Orange,5,1001.06465453843
514,29600000,C, ,1.922,2.299,35,607.1769,2,29,Columbia,2,607.176884664631
515,11080000,C, ,0.17,4.423,55,6840.8564,5,11,Lake,5,6840.85644168481
516,60030000,C, ,26.5,27.057,55,899.1183,3,60,Walton,3,899.118300748755
517,36657000,C, ,0,3.006,45,4837.7033,5,36,Marion,5,4837.70333829025
518,36000070,C, ,0,2.878,45,4627.0964,5,36,Marion,5,4627.09641101313
519,26620000,C, ,11.904,12.246,45,550.4401,2,26,Alachua,2,550.440084047286
520,87000141,L, ,0,2.972,40,4777.4076,6,87,Miami-Dade,6,4777.40755993905
521,37000023,C, ,5.148,10.398,45,8448.9643,2,37,Suwannee,2,8448.96428618989
522,93290000,C, ,0,2.65,40,4265.4518,4,93,Palm Beach,4,4265.45176118106
523,34160000,C, ,0.878,10.373,55,15280.2636,2,34,Levy,2,15280.2635532281
524,75020000,C, ,12.4,12.479,45,127.1218,5,75,Orange,5,127.121843587013
525,34500002,C, ,0,0.354,10,574.4081,2,34,Levy,2,574.408069519066
526,26050065,C, ,0,0.506,35,812.1933,2,26,Alachua,2,812.193343338194
527,75180000,C, ,0,0.106,35,170.7194,5,75,Orange,5,170.719377813339
528,87250000,L, ,2.279,2.566,30,461.4841,6,87,Miami-Dade,6,461.484103855727
529,87000246,C, ,0,1.5,25,2399.7649,6,87,Miami-Dade,6,2399.764871783
530,57010000,C, ,15.47,16.3,45,1340.6226,3,57,Okaloosa,3,1340.62264905566
531,75000120,C, ,0,2.072,45,3322.8575,5,75,Orange,5,3322.85751125494
532,76600000,C, ,6.88,8.441,35,2512.0824,2,76,Putnam,2,2512.08242335808
533,36060000,C, ,1.7,6.96,55,8461.8786,5,36,Marion,5,8461.87855380084
534,55504000,C, ,1.16,1.817,30,1054.6384,3,55,Leon,3,1054.63840261244
535,94050000,C, ,14.1,17.957,35,6213.9952,4,94,St. Lucie,4,6213.99519350157
536,26570000,C, ,12.352,12.577,40,362.0078,2,26,Alachua,2,362.007847632992
