FID,ID,LOCATION_S,DISTRICT,CO_SEC_SUB,BMP,EMP,ROUTEID,LENGTH,FTLCRSH_NU,FTLCRSH_AL,FTLCRSH_PC,FCFTL_NUME,FCFTL_ALL,FCFTL_PCT,FCINJ_NUME,FCINJ_ALL,FCINJ_PCT,INJCRSH_NU,INJCRSH_AL,INJCRSH_PC,ICINJ_NUME,ICINJ_ALL,ICINJ_PCT,PDOCRSH_NU,PDOCRSH_AL,PDOCRSH_PC,TOTCRSH_NU,TOTCRSH_AL,TOTCRSH_PC,TOTFTL_NUM,TOTFTL_ALL,TOTFTL_PCT,TOTINJ_NUM,TOTINJ_ALL,TOTINJ_PCT,URBAN
374,439,1,01,07030000,6.2,6.6,SR   25,0.4,0,0,0,0,0,0,0,0,0,3,4,75,5,6,83,2,2,100,5,6,83,0,0,0,5,6,83,N
375,1132,1,01,16020000,8.449,8.749,SR  600,0.3,0,0,0,0,0,0,0,0,0,3,8,38,3,10,30,2,6,33,5,14,36,0,0,0,3,10,30,Y
376,3703,2,02,72060000,0.5,1,SR    5,0.5,0,0,0,0,0,0,0,0,0,3,7,43,4,13,31,5,10,50,8,17,47,0,0,0,4,13,31,Y
377,559,1,01,12010000,4.2,4.7,SR   45,0.5,0,0,0,0,0,0,0,0,0,4,16,25,5,19,26,8,11,73,12,27,44,0,0,0,5,19,26,Y
378,3592,2,02,72031000,1.7,2.1,SR  113,0.4,0,0,0,0,0,0,0,0,0,1,2,50,1,3,33,4,6,67,5,8,62,0,0,0,1,3,33,Y
379,2944,2,02,37120012,0,0.216,SR    8,0.216,0,0,0,0,0,0,0,0,0,2,7,29,3,13,23,3,6,50,5,13,38,0,0,0,3,13,23,N
380,1336,1,01,16110000,5.6,6.1,SR   60,0.5,0,0,0,0,0,0,0,0,0,7,26,27,10,36,28,10,21,48,17,47,36,0,0,0,10,36,28,Y
381,1396,1,01,16160000,0.6,0.9,SR  559,0.3,0,0,0,0,0,0,0,0,0,2,7,29,2,8,25,2,3,67,4,10,40,0,0,0,2,8,25,Y
382,3457,2,02,72010000,12.4,12.8,SR   10,0.4,0,0,0,0,0,0,0,0,0,2,5,40,3,12,25,4,10,40,6,15,40,0,0,0,3,12,25,Y
383,1093,1,01,16006000,6.1,6.4,SR  659,0.3,0,0,0,0,0,0,0,0,0,3,6,50,3,7,43,2,4,50,5,10,50,0,0,0,3,7,43,Y
384,646,1,01,12040000,0,0.4,SR  867,0.4,0,1,0,0,1,0,0,2,0,13,28,46,24,45,53,13,28,46,26,57,46,0,1,0,24,47,51,Y
385,3406,2,02,72002066,0,0.3,SR    9A,0.3,1,1,100,2,2,100,1,1,100,2,5,40,3,7,43,2,5,40,5,11,45,2,2,100,4,8,50,Y
386,193,1,01,03030000,9.106,9.506,SR  951,0.4,0,0,0,0,0,0,0,0,0,3,5,60,4,9,44,2,2,100,5,7,71,0,0,0,4,9,44,Y
387,3991,2,02,72160000,10.9,11.2,SR   13,0.3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,4,6,67,4,8,50,0,0,0,0,2,0,Y
388,790,1,01,12075000,13.9,14.4,SR   93,0.5,0,0,0,0,0,0,0,0,0,5,11,45,7,14,50,2,5,40,7,16,44,0,0,0,7,14,50,Y
389,3664,2,02,72040120,0,0.336,SR  115,0.336,0,0,0,0,0,0,0,0,0,3,6,50,3,7,43,7,11,64,10,17,59,0,0,0,3,7,43,Y
390,3367,2,02,72002002,0,0.185,SR    9A,0.185,0,0,0,0,0,0,0,0,0,2,6,33,4,14,29,2,5,40,4,11,36,0,0,0,4,14,29,Y
391,1483,1,01,16180000,25.2,25.8,SR   25,0.6,1,1,100,1,1,100,0,0,0,9,26,35,14,35,40,18,28,64,28,55,51,1,1,100,14,35,40,N
392,340,1,01,05010000,5,5.5,SR   25,0.5,0,0,0,0,0,0,0,0,0,2,4,50,4,6,67,6,14,43,8,18,44,0,0,0,4,6,67,N
393,3904,2,02,72120000,6.176,6.476,SR  228,0.3,0,1,0,0,1,0,0,0,0,2,3,67,4,5,80,2,2,100,4,6,67,0,1,0,4,5,80,Y
394,1237,1,01,16070000,4.047,4.547,SR   33,0.5,1,1,100,1,1,100,0,0,0,5,15,33,13,28,46,4,6,67,10,22,45,1,1,100,13,28,46,Y
395,3754,2,02,72070000,6.8,7.5,SR    5,0.7,1,1,100,2,2,100,5,5,100,42,94,45,73,169,43,42,121,35,85,216,39,2,2,100,78,174,45,Y
396,3295,2,02,72001433,0,0.449,SR    9A,0.449,0,0,0,0,0,0,0,0,0,3,5,60,4,6,67,6,20,30,9,25,36,0,0,0,4,6,67,Y
397,877,1,01,13020000,0.7,1.1,SR   43,0.4,0,0,0,0,0,0,0,0,0,12,28,43,15,36,42,10,25,40,22,53,42,0,0,0,15,36,42,Y
398,2794,2,02,34010000,0.8,1.1,SR   55,0.3,0,0,0,0,0,0,0,0,0,3,6,50,5,8,62,1,4,25,4,10,40,0,0,0,5,8,62,N
399,427,1,01,07030000,0.8,1.2,SR   25,0.4,0,0,0,0,0,0,0,0,0,3,10,30,6,21,29,2,3,67,5,13,38,0,0,0,6,21,29,N
400,994,1,01,13080000,6.5,6.8,SR  789,0.3,0,0,0,0,0,0,0,0,0,4,7,57,5,11,45,2,10,20,6,17,35,0,0,0,5,11,45,Y
401,547,1,01,12004000,4.5,4.778,SR  865,0.278,0,1,0,0,1,0,0,1,0,14,28,50,21,41,51,9,21,43,23,50,46,0,1,0,21,42,50,Y
402,3553,2,02,72020327,0,0.121,SR    9,0.121,0,0,0,0,0,0,0,0,0,6,12,50,10,19,53,6,19,32,12,31,39,0,0,0,10,19,53,Y
403,3580,2,02,72030000,6.3,6.6,SR   15,0.3,0,0,0,0,0,0,0,0,0,3,5,60,3,10,30,2,8,25,5,13,38,0,0,0,3,10,30,Y
404,94,1,01,01075000,9.6,10,SR   93,0.4,0,1,0,0,1,0,0,2,0,3,4,75,3,6,50,5,15,33,8,20,40,0,1,0,3,8,38,N
